Date,AwayTeam,AwayScore,HomeTeam,HomeScore,IsNeutralSite
2018-Mar-22 7:25 PM,Carlton,95,Richmond,121,FALSE
2018-Mar-23 7:50 PM,Adelaide,87,Essendon,99,FALSE
2018-Mar-24 3:35 PM,Brisbane Lions,82,St Kilda,107,FALSE
2018-Mar-24 4:35 PM,Fremantle,60,Port Adelaide,110,FALSE
2018-Mar-24 7:25 PM,North Melbourne,39,Gold Coast,55,FALSE
2018-Mar-24 7:25 PM,Collingwood,67,Hawthorn,101,FALSE
2018-Mar-25 1:10 PM,Western Bulldogs,51,GWS Giants,133,FALSE
2018-Mar-25 3:20 PM,Geelong,97,Melbourne,94,FALSE
2018-Mar-25 7:20 PM,Sydney,115,West Coast,86,FALSE
2018-Mar-29 7:50 PM,Richmond,82,Adelaide,118,FALSE
2018-Mar-30 4:20 PM,St Kilda,43,North Melbourne,95,FALSE
2018-Mar-31 1:45 PM,Gold Coast,101,Carlton,67,FALSE
2018-Mar-31 4:35 PM,GWS Giants,95,Collingwood,79,FALSE
2018-Mar-31 7:25 PM,Melbourne,100,Brisbane Lions,74,FALSE
2018-Mar-31 8:10 PM,Essendon,90,Fremantle,106,FALSE
2018-Apr-1 3:20 PM,West Coast,121,Western Bulldogs,70,FALSE
2018-Apr-1 4:40 PM,Port Adelaide,94,Sydney,71,FALSE
2018-Apr-2 3:20 PM,Hawthorn,118,Geelong,117,FALSE
2018-Apr-6 7:50 PM,Collingwood,100,Carlton,76,FALSE
2018-Apr-7 1:45 PM,Brisbane Lions,92,Port Adelaide,97,FALSE
2018-Apr-7 2:10 PM,North Melbourne,86,Melbourne,123,FALSE
2018-Apr-7 4:35 PM,Fremantle,96,Gold Coast,68,FALSE
2018-Apr-7 7:25 PM,GWS Giants,87,Sydney,103,FALSE
2018-Apr-7 7:25 PM,Adelaide,104,St Kilda,55,FALSE
2018-Apr-8 1:10 PM,Hawthorn,89,Richmond,102,FALSE
2018-Apr-8 3:20 PM,Essendon,83,Western Bulldogs,104,FALSE
2018-Apr-8 4:40 PM,Geelong,80,West Coast,95,FALSE
2018-Apr-13 7:50 PM,Collingwood,106,Adelaide,58,FALSE
2018-Apr-14 1:45 PM,Fremantle,51,GWS Giants,82,FALSE
2018-Apr-14 2:10 PM,Brisbane Lions,17,Richmond,110,FALSE
2018-Apr-14 4:35 PM,Sydney,86,Western Bulldogs,79,FALSE
2018-Apr-14 7:25 PM,Carlton,30,North Melbourne,116,FALSE
2018-Apr-14 8:10 PM,Gold Coast,59,West Coast,139,FALSE
2018-Apr-15 1:10 PM,Port Adelaide,84,Essendon,106,FALSE
2018-Apr-15 3:20 PM,Melbourne,48,Hawthorn,115,FALSE
2018-Apr-15 4:40 PM,St Kilda,56,Geelong,103,FALSE
2018-Apr-20 7:50 PM,Adelaide,85,Sydney,75,FALSE
2018-Apr-21 1:45 PM,GWS Giants,73,St Kilda,73,FALSE
2018-Apr-21 4:35 PM,West Coast,79,Carlton,69,FALSE
2018-Apr-21 7:40 PM,Geelong,84,Port Adelaide,50,FALSE
2018-Apr-21 8:10 PM,Western Bulldogs,54,Fremantle,108,FALSE
2018-Apr-22 3:20 PM,Hawthorn,70,North Melbourne,98,FALSE
2018-Apr-22 4:40 PM,Gold Coast,76,Brisbane Lions,71,FALSE
2018-Apr-24 7:25 PM,Richmond,102,Melbourne,56,FALSE
2018-Apr-25 3:20 PM,Essendon,52,Collingwood,101,FALSE
2018-Apr-27 7:50 PM,Carlton,59,Western Bulldogs,80,FALSE
2018-Apr-28 1:45 PM,Sydney,86,Geelong,69,FALSE
2018-Apr-28 2:10 PM,Port Adelaide,102,North Melbourne,69,FALSE
2018-Apr-28 4:35 PM,Brisbane Lions,43,GWS Giants,77,FALSE
2018-Apr-28 7:25 PM,St Kilda,54,Hawthorn,89,FALSE
2018-Apr-28 7:40 PM,Gold Coast,62,Adelaide,110,FALSE
2018-Apr-29 1:10 PM,Melbourne,108,Essendon,72,FALSE
2018-Apr-29 3:20 PM,Richmond,113,Collingwood,70,FALSE
2018-Apr-29 4:40 PM,West Coast,89,Fremantle,81,FALSE
2018-May-4 7:50 PM,GWS Giants,32,Geelong,93,FALSE
2018-May-5 1:45 PM,Gold Coast,72,Western Bulldogs,81,FALSE
2018-May-5 2:10 PM,Hawthorn,90,Essendon,67,FALSE
2018-May-5 4:35 PM,Port Adelaide,60,West Coast,102,FALSE
2018-May-5 7:25 PM,North Melbourne,68,Sydney,66,FALSE
2018-May-5 7:40 PM,Carlton,70,Adelaide,125,FALSE
